time,time_ms,load_g
2021-03-20 12:01:58,118943,-9.02
2021-03-20 12:01:59,119741,-9.1
2021-03-20 12:02:00,120540,-9.18
2021-03-20 12:02:01,121338,-9.1
2021-03-20 12:02:02,122137,-9.21
2021-03-20 12:02:02,122935,-8.94
2021-03-20 12:02:03,123734,-9.06
2021-03-20 12:02:04,124533,-9.49
2021-03-20 12:02:05,125331,-9.65
2021-03-20 12:02:05,126130,-9.91
2021-03-20 12:02:06,126928,-10.04
2021-03-20 12:02:07,127727,-9.09
2021-03-20 12:02:08,128526,-9.01
2021-03-20 12:02:09,129325,-8.88
2021-03-20 12:02:09,130124,-8.76
2021-03-20 12:02:10,130923,-8.66
2021-03-20 12:02:11,131721,-8.54
2021-03-20 12:02:12,132520,-8.55
2021-03-20 12:02:13,133319,-8.58
2021-03-20 12:02:13,134118,-8.56
2021-03-20 12:02:14,134917,-8.51
2021-03-20 12:02:15,135716,-8.53
2021-03-20 12:02:16,136515,-8.44
2021-03-20 12:02:17,137314,-8.49
2021-03-20 12:02:17,138113,-8.55
2021-03-20 12:02:18,138912,-8.88
2021-03-20 12:02:19,139711,-8.86
2021-03-20 12:02:20,140511,-8.81
2021-03-20 12:02:21,141310,-8.73
2021-03-20 12:02:21,142109,-8.71
2021-03-20 12:02:22,142908,-8.78
2021-03-20 12:02:23,143707,-8.85
2021-03-20 12:02:24,144507,-8.89
2021-03-20 12:02:25,145306,-8.88
2021-03-20 12:02:25,146105,-8.12
2021-03-20 12:02:26,146905,-8.12
2021-03-20 12:02:27,147704,-8.39
2021-03-20 12:02:28,148503,-8.35
2021-03-20 12:02:29,149302,-8.58
2021-03-20 12:02:29,150102,-8.71
2021-03-20 12:02:30,150901,-8.7
2021-03-20 12:02:31,151700,-9.08
2021-03-20 12:02:32,152500,-8.33
2021-03-20 12:02:33,153300,-8.65
2021-03-20 12:02:33,154099,-8.06
2021-03-20 12:02:34,154899,-8.36
2021-03-20 12:02:35,155698,-8.93
2021-03-20 12:02:36,156498,-8.88
2021-03-20 12:02:37,157297,-9.12
2021-03-20 12:02:37,158097,-9.12
2021-03-20 12:02:38,158896,-9.11
2021-03-20 12:02:39,159696,-8.98
2021-03-20 12:02:40,160495,-8.84
2021-03-20 12:02:41,161295,-8.74
2021-03-20 12:02:41,162095,-8.81
2021-03-20 12:02:42,162894,-8.86
2021-03-20 12:02:43,163694,-8.85
2021-03-20 12:02:44,164494,-8.72
2021-03-20 12:02:45,165293,-8.78
2021-03-20 12:02:45,166093,-8.72
