time,time_ms,quality_sensor
2021-02-28 17:11:27,142323,86.0
2021-02-28 17:11:28,143340,85.0
2021-02-28 17:11:29,144358,85.0
2021-02-28 17:11:30,145375,84.0
2021-02-28 17:11:31,146396,84.0
2021-02-28 17:11:32,147414,84.0
2021-02-28 17:11:33,148431,85.0
2021-02-28 17:11:34,149449,84.0
2021-02-28 17:11:35,150469,84.0
2021-02-28 17:11:36,151487,84.0
2021-02-28 17:11:37,152504,84.0
2021-02-28 17:11:38,153522,82.0
2021-02-28 17:11:39,154539,82.0
2021-02-28 17:11:40,155560,82.0
2021-02-28 17:11:41,156577,82.0
2021-02-28 17:11:42,157595,82.0
2021-02-28 17:11:43,158612,82.0
2021-02-28 17:11:44,159630,82.0
2021-02-28 17:11:45,160651,82.0
2021-02-28 17:11:46,161668,81.0
2021-02-28 17:11:47,162686,80.0
2021-02-28 17:11:48,163704,80.0
2021-02-28 17:11:49,164721,81.0
2021-02-28 17:11:50,165742,81.0
2021-02-28 17:11:51,166760,81.0
2021-02-28 17:11:52,167778,80.0
2021-02-28 17:11:53,168795,80.0
2021-02-28 17:11:54,169816,78.0
2021-02-28 17:11:55,170834,79.0
2021-02-28 17:11:56,171851,79.0
2021-02-28 17:11:57,172869,79.0
2021-02-28 17:11:58,173887,79.0
2021-02-28 17:11:59,174908,78.0
2021-02-28 17:12:00,175925,78.0
2021-02-28 17:12:01,176943,77.0
2021-02-28 17:12:02,177960,77.0
2021-02-28 17:12:03,178978,77.0
2021-02-28 17:12:04,179999,77.0
2021-02-28 17:12:05,181017,77.0
2021-02-28 17:12:06,182034,78.0
2021-02-28 17:12:07,183052,77.0
2021-02-28 17:12:08,184069,76.0
2021-02-28 17:12:09,185091,76.0
2021-02-28 17:12:10,186108,76.0
2021-02-28 17:12:11,187126,77.0
2021-02-28 17:12:12,188143,77.0
2021-02-28 17:12:13,189165,76.0
2021-02-28 17:12:15,190182,76.0
2021-02-28 17:12:16,191200,76.0
2021-02-28 17:12:17,192217,76.0
2021-02-28 17:12:18,193235,74.0
2021-02-28 17:12:19,194255,75.0
2021-02-28 17:12:20,195273,75.0
2021-02-28 17:12:21,196291,74.0
2021-02-28 17:12:22,197308,75.0
2021-02-28 17:12:23,198326,74.0
2021-02-28 17:12:24,199347,74.0
2021-02-28 17:12:25,200365,74.0
2021-02-28 17:12:26,201383,72.0
2021-02-28 17:12:27,202400,74.0
2021-02-28 17:12:28,203418,75.0
2021-02-28 17:12:29,204439,73.0
2021-02-28 17:12:30,205457,73.0
2021-02-28 17:12:31,206474,72.0
2021-02-28 17:12:32,207492,72.0
2021-02-28 17:12:33,208513,72.0
2021-02-28 17:12:34,209531,73.0
2021-02-28 17:12:35,210549,73.0
2021-02-28 17:12:36,211566,72.0
2021-02-28 17:12:37,212584,72.0
2021-02-28 17:12:38,213605,72.0
2021-02-28 17:12:39,214623,72.0
2021-02-28 17:12:40,215641,72.0
2021-02-28 17:12:41,216658,71.0
2021-02-28 17:12:42,217676,73.0
2021-02-28 17:12:43,218697,71.0
2021-02-28 17:12:44,219715,71.0
2021-02-28 17:12:45,220733,72.0
2021-02-28 17:12:46,221750,71.0
2021-02-28 17:12:47,222768,71.0
2021-02-28 17:12:48,223789,71.0
2021-02-28 17:12:49,224807,71.0
2021-02-28 17:12:50,225825,72.0
2021-02-28 17:12:51,226842,72.0
2021-02-28 17:12:52,227863,70.0
2021-02-28 17:12:53,228881,70.0
2021-02-28 17:12:54,229899,71.0
2021-02-28 17:12:55,230916,70.0
2021-02-28 17:12:56,231934,70.0
2021-02-28 17:12:57,232955,71.0
2021-02-28 17:12:58,233973,70.0
2021-02-28 17:12:59,234990,70.0
2021-02-28 17:13:00,236008,71.0
2021-02-28 17:13:01,237025,70.0
2021-02-28 17:13:02,238047,69.0
2021-02-28 17:13:03,239064,70.0
2021-02-28 17:13:04,240082,71.0
2021-02-28 17:13:05,241100,71.0
2021-02-28 17:13:06,242118,70.0
2021-02-28 17:13:07,243139,69.0
2021-02-28 17:13:08,244157,69.0
2021-02-28 17:13:10,245175,68.0
2021-02-28 17:13:11,246193,68.0
2021-02-28 17:13:12,247214,68.0
2021-02-28 17:13:13,248232,68.0
2021-02-28 17:13:14,249249,69.0
2021-02-28 17:13:15,250267,69.0
2021-02-28 17:13:16,251285,70.0
2021-02-28 17:13:17,252306,69.0
2021-02-28 17:13:18,253324,67.0
2021-02-28 17:13:19,254342,68.0
2021-02-28 17:13:20,255359,68.0
2021-02-28 17:13:21,256378,67.0
2021-02-28 17:13:22,257399,68.0
2021-02-28 17:13:23,258417,67.0
2021-02-28 17:13:24,259434,67.0
2021-02-28 17:13:25,260452,67.0
2021-02-28 17:13:26,261470,68.0
2021-02-28 17:13:27,262491,68.0
2021-02-28 17:13:28,263509,68.0
2021-02-28 17:13:29,264527,67.0
2021-02-28 17:13:30,265544,67.0
2021-02-28 17:13:31,266566,68.0
2021-02-28 17:13:32,267584,68.0
2021-02-28 17:13:33,268601,68.0
2021-02-28 17:13:34,269619,66.0
2021-02-28 17:13:35,270636,66.0
2021-02-28 17:13:36,271658,67.0
2021-02-28 17:13:37,272675,66.0
2021-02-28 17:13:38,273692,65.0
2021-02-28 17:13:39,274709,66.0
2021-02-28 17:13:40,275726,66.0
2021-02-28 17:13:41,276747,66.0
2021-02-28 17:13:42,277764,66.0
2021-02-28 17:13:43,278782,65.0
2021-02-28 17:13:44,279799,66.0
2021-02-28 17:13:45,280817,66.0
2021-02-28 17:13:46,281837,66.0
2021-02-28 17:13:47,282855,65.0
2021-02-28 17:13:48,283872,65.0
2021-02-28 17:13:49,284890,65.0
2021-02-28 17:13:50,285910,66.0
2021-02-28 17:13:51,286928,65.0
2021-02-28 17:13:52,287945,64.0
2021-02-28 17:13:53,288962,64.0
2021-02-28 17:13:54,289980,66.0
2021-02-28 17:13:55,291001,64.0
2021-02-28 17:13:56,292018,65.0
2021-02-28 17:13:57,293035,65.0
2021-02-28 17:13:58,294053,66.0
2021-02-28 17:13:59,295070,65.0
2021-02-28 17:14:00,296091,64.0
2021-02-28 17:14:01,297108,64.0
2021-02-28 17:14:02,298126,64.0
2021-02-28 17:14:03,299143,64.0
2021-02-28 17:14:04,300160,64.0
2021-02-28 17:14:06,301181,64.0
2021-02-28 17:14:07,302199,63.0
2021-02-28 17:14:08,303216,63.0
2021-02-28 17:14:09,304233,64.0
2021-02-28 17:14:10,305254,63.0
2021-02-28 17:14:11,306271,63.0
2021-02-28 17:14:12,307289,64.0
2021-02-28 17:14:13,308306,63.0
2021-02-28 17:14:14,309323,63.0
2021-02-28 17:14:15,310355,62.0
2021-02-28 17:14:16,311375,64.0
2021-02-28 17:14:17,312395,64.0
2021-02-28 17:14:18,313414,63.0
2021-02-28 17:14:19,314434,62.0
2021-02-28 17:14:20,315457,63.0
2021-02-28 17:14:21,316477,61.0
2021-02-28 17:14:22,317496,63.0
2021-02-28 17:14:23,318516,62.0
2021-02-28 17:14:24,319536,62.0
2021-02-28 17:14:25,320559,61.0
2021-02-28 17:14:26,321579,63.0
2021-02-28 17:14:27,322599,62.0
