time,time_ms,mq9_sensor
1900-01-01 00:01:20,80825,1.75
1900-01-01 00:01:21,81404,1.75
1900-01-01 00:01:22,81983,1.7
1900-01-01 00:01:22,82563,1.67
1900-01-01 00:01:23,83141,1.67
1900-01-01 00:01:23,83720,1.72
1900-01-01 00:01:24,84303,1.64
1900-01-01 00:01:24,84882,1.63
1900-01-01 00:01:25,85461,1.62
1900-01-01 00:01:26,86040,1.76
1900-01-01 00:01:26,86620,1.75
1900-01-01 00:01:27,87199,1.61
1900-01-01 00:01:27,87781,1.7
1900-01-01 00:01:28,88359,1.72
1900-01-01 00:01:28,88938,1.71
1900-01-01 00:01:29,89517,1.86
1900-01-01 00:01:30,90095,1.58
1900-01-01 00:01:30,90673,1.78
1900-01-01 00:01:31,91255,1.75
1900-01-01 00:01:31,91833,1.74
1900-01-01 00:01:32,92411,1.63
1900-01-01 00:01:33,92990,1.73
1900-01-01 00:01:33,93568,1.67
1900-01-01 00:01:34,94147,1.74
1900-01-01 00:01:34,94729,1.76
1900-01-01 00:01:35,95307,1.69
1900-01-01 00:01:35,95895,1.7
1900-01-01 00:01:36,96475,1.73
1900-01-01 00:01:37,97054,1.79
1900-01-01 00:01:37,97634,1.82
1900-01-01 00:01:38,98216,1.83
1900-01-01 00:01:38,98795,1.72
1900-01-01 00:01:39,99375,1.77
1900-01-01 00:01:40,99954,1.73
1900-01-01 00:01:40,100532,1.71
1900-01-01 00:01:41,101111,1.67
1900-01-01 00:01:41,101692,1.75
1900-01-01 00:01:42,102271,1.73
1900-01-01 00:01:42,102850,1.73
1900-01-01 00:01:43,103428,1.77
1900-01-01 00:01:44,104006,1.73
1900-01-01 00:01:44,104585,1.84
1900-01-01 00:01:45,105167,1.78
1900-01-01 00:01:45,105746,1.69
1900-01-01 00:01:46,106324,1.84
1900-01-01 00:01:46,106903,1.78
1900-01-01 00:01:47,107481,1.79
1900-01-01 00:01:48,108059,1.64
1900-01-01 00:01:48,108642,1.71
1900-01-01 00:01:49,109220,1.68
1900-01-01 00:01:49,109799,1.74
1900-01-01 00:01:50,110378,1.62
1900-01-01 00:01:51,110958,1.58
1900-01-01 00:01:51,111537,1.75
1900-01-01 00:01:52,112118,1.65
1900-01-01 00:01:52,112697,1.68
1900-01-01 00:01:53,113277,1.73
1900-01-01 00:01:53,113855,1.7
1900-01-01 00:01:54,114435,1.66
1900-01-01 00:01:55,115014,1.63
1900-01-01 00:01:55,115597,1.86
1900-01-01 00:01:56,116175,1.6
1900-01-01 00:01:56,116754,1.67
1900-01-01 00:01:57,117334,1.63
1900-01-01 00:01:57,117913,1.57
1900-01-01 00:01:58,118492,1.61
1900-01-01 00:01:59,119075,1.72
1900-01-01 00:01:59,119653,1.72
1900-01-01 00:02:00,120231,1.64
1900-01-01 00:02:00,120810,1.77
1900-01-01 00:02:01,121388,1.7
1900-01-01 00:02:02,121967,1.83
1900-01-01 00:02:02,122549,1.67
1900-01-01 00:02:03,123127,1.69
1900-01-01 00:02:03,123705,1.92
1900-01-01 00:02:04,124284,1.78
1900-01-01 00:02:04,124863,1.66
1900-01-01 00:02:05,125441,1.79
1900-01-01 00:02:06,126023,1.69
1900-01-01 00:02:06,126602,1.53
1900-01-01 00:02:07,127181,1.76
1900-01-01 00:02:07,127768,1.72
1900-01-01 00:02:08,128348,1.7
1900-01-01 00:02:08,128926,1.63
1900-01-01 00:02:09,129509,1.69
1900-01-01 00:02:10,130089,1.76
1900-01-01 00:02:10,130668,1.64
1900-01-01 00:02:11,131247,1.66
1900-01-01 00:02:11,131826,1.72
1900-01-01 00:02:12,132403,1.73
1900-01-01 00:02:13,132986,1.72
1900-01-01 00:02:13,133564,1.6
1900-01-01 00:02:14,134142,1.54
1900-01-01 00:02:14,134720,1.74
1900-01-01 00:02:15,135299,1.7
1900-01-01 00:02:15,135877,1.59
1900-01-01 00:02:16,136460,1.75
1900-01-01 00:02:17,137039,1.71
1900-01-01 00:02:17,137617,1.74
1900-01-01 00:02:18,138196,1.79
1900-01-01 00:02:18,138774,1.83
1900-01-01 00:02:19,139352,1.74
1900-01-01 00:02:19,139934,1.68
1900-01-01 00:02:20,140513,1.69
1900-01-01 00:02:21,141093,1.78
1900-01-01 00:02:21,141672,1.69
1900-01-01 00:02:22,142251,1.88
1900-01-01 00:02:22,142830,1.59
1900-01-01 00:02:23,143412,1.69
1900-01-01 00:02:24,143992,1.56
1900-01-01 00:02:24,144571,1.76
1900-01-01 00:02:25,145150,1.75
1900-01-01 00:02:25,145729,1.68
1900-01-01 00:02:26,146308,1.79
1900-01-01 00:02:26,146891,1.63
1900-01-01 00:02:27,147469,1.8
1900-01-01 00:02:28,148048,1.87
1900-01-01 00:02:28,148627,1.64
1900-01-01 00:02:29,149206,1.67
1900-01-01 00:02:29,149785,1.69
1900-01-01 00:02:30,150368,1.59
1900-01-01 00:02:30,150947,1.68
1900-01-01 00:02:31,151526,1.75
1900-01-01 00:02:32,152105,1.76
1900-01-01 00:02:32,152684,1.72
1900-01-01 00:02:33,153262,1.73
1900-01-01 00:02:33,153844,1.68
1900-01-01 00:02:34,154423,1.61
1900-01-01 00:02:35,155001,1.78
1900-01-01 00:02:35,155579,1.64
1900-01-01 00:02:36,156157,1.7
1900-01-01 00:02:36,156736,1.81
1900-01-01 00:02:37,157318,1.65
1900-01-01 00:02:37,157896,1.71
1900-01-01 00:02:38,158474,1.64
1900-01-01 00:02:39,159052,1.69
1900-01-01 00:02:39,159660,1.7
1900-01-01 00:02:40,160237,1.68
1900-01-01 00:02:40,160820,1.64
1900-01-01 00:02:41,161398,1.73
1900-01-01 00:02:42,161976,1.72
1900-01-01 00:02:42,162554,1.64
1900-01-01 00:02:43,163139,1.63
1900-01-01 00:02:43,163717,1.66
1900-01-01 00:02:44,164299,1.65
1900-01-01 00:02:44,164878,1.71
1900-01-01 00:02:45,165456,1.64
1900-01-01 00:02:46,166035,1.63
1900-01-01 00:02:46,166614,1.75
1900-01-01 00:02:47,167192,1.76
1900-01-01 00:02:47,167773,1.67
1900-01-01 00:02:48,168352,1.74
1900-01-01 00:02:48,168931,1.67
1900-01-01 00:02:49,169510,1.65
1900-01-01 00:02:50,170090,1.76
1900-01-01 00:02:50,170669,1.71
1900-01-01 00:02:51,171251,1.69
1900-01-01 00:02:51,171830,1.77
1900-01-01 00:02:52,172409,1.81
1900-01-01 00:02:53,172989,1.62
1900-01-01 00:02:53,173568,1.69
1900-01-01 00:02:54,174147,1.59
1900-01-01 00:02:54,174724,1.61
1900-01-01 00:02:55,175302,1.7
1900-01-01 00:02:55,175880,1.83
1900-01-01 00:02:56,176460,1.73
